 Sepal width,Petal length, Petal width, Species
2.8,6.7,2,Iris-virginica
2.7,4.9,1.8,Iris-virginica
3.3,5.7,2.1,Iris-virginica
3.2,6,1.8,Iris-virginica
2.8,4.8,1.8,Iris-virginica
3,4.9,1.8,Iris-virginica
2.8,5.6,2.1,Iris-virginica
3,5.8,1.6,Iris-virginica
2.8,6.1,1.9,Iris-virginica
3.8,6.4,2,Iris-virginica
2.8,5.6,2.2,Iris-virginica
2.8,5.1,1.5,Iris-virginica
2.6,5.6,1.4,Iris-virginica
3,6.1,2.3,Iris-virginica
3.4,5.6,2.4,Iris-virginica
3.1,5.5,1.8,Iris-virginica
3,4.8,1.8,Iris-virginica
3.1,5.4,2.1,Iris-virginica
3.1,5.6,2.4,Iris-virginica
3.1,5.1,2.3,Iris-virginica
2.7,5.1,1.9,Iris-virginica
3.2,5.9,2.3,Iris-virginica
3.3,5.7,2.5,Iris-virginica
3,5.2,2.3,Iris-virginica
2.5,5,1.9,Iris-virginica
3,5.2,2,Iris-virginica
3.4,5.4,2.3,Iris-virginica
3,5.1,1.8,Iris-virginica
