Sepal length,Sepal width,Petal length, Petal width,Species
5.74,3,4.2,1.5,Iris-versicolor
5.74,2.2,4,1,Iris-versicolor
6.1,2.9,4.7,1.4,Iris-versicolor
5.38,2.9,3.6,1.3,Iris-versicolor
6.46,3.1,4.4,1.4,Iris-versicolor
5.38,3,4.5,1.5,Iris-versicolor
5.74,2.7,4.1,1,Iris-versicolor
6.1,2.2,4.5,1.5,Iris-versicolor
5.38,2.5,3.9,1.1,Iris-versicolor
5.74,3.2,4.8,1.8,Iris-versicolor
6.1,2.8,4,1.3,Iris-versicolor
6.1,2.5,4.9,1.5,Iris-versicolor
6.1,2.8,4.7,1.2,Iris-versicolor
6.1,2.9,4.3,1.3,Iris-versicolor
6.46,3,4.4,1.4,Iris-versicolor
6.46,2.8,4.8,1.4,Iris-versicolor
6.46,3,5,1.7,Iris-versicolor
5.74,2.9,4.5,1.5,Iris-versicolor
5.38,2.6,3.5,1,Iris-versicolor
5.38,2.4,3.8,1.1,Iris-versicolor
5.38,2.4,3.7,1,Iris-versicolor
5.74,2.7,3.9,1.2,Iris-versicolor
5.74,2.7,5.1,1.6,Iris-versicolor
5.38,3,4.5,1.5,Iris-versicolor
5.74,3.4,4.5,1.6,Iris-versicolor
6.46,3.1,4.7,1.5,Iris-versicolor
6.1,2.3,4.4,1.3,Iris-versicolor
5.38,3,4.1,1.3,Iris-versicolor
5.38,2.5,4,1.3,Iris-versicolor
5.38,2.6,4.4,1.2,Iris-versicolor
6.1,3,4.6,1.4,Iris-versicolor
5.74,2.6,4,1.2,Iris-versicolor
4.66,2.3,3.3,1,Iris-versicolor
5.38,2.7,4.2,1.3,Iris-versicolor
5.38,3,4.2,1.2,Iris-versicolor
5.38,2.9,4.2,1.3,Iris-versicolor
6.1,2.9,4.3,1.3,Iris-versicolor
5.02,2.5,3,1.1,Iris-versicolor
5.38,2.8,4.1,1.3,Iris-versicolor
6.1,3.3,6,2.5,Iris-virginica
5.74,2.7,5.1,1.9,Iris-virginica
6.82,3,5.9,2.1,Iris-virginica
6.1,2.9,5.6,1.8,Iris-virginica
6.46,3,5.8,2.2,Iris-virginica
7.54,3,6.6,2.1,Iris-virginica
4.66,2.5,4.5,1.7,Iris-virginica
7.18,2.9,6.3,1.8,Iris-virginica
6.46,2.5,5.8,1.8,Iris-virginica
7.18,3.6,6.1,2.5,Iris-virginica
6.46,3.2,5.1,2,Iris-virginica
6.1,2.7,5.3,1.9,Iris-virginica
6.46,3,5.5,2.1,Iris-virginica
5.38,2.5,5,2,Iris-virginica
5.74,2.8,5.1,2.4,Iris-virginica
6.1,3.2,5.3,2.3,Iris-virginica
6.46,3,5.5,1.8,Iris-virginica
7.54,3.8,6.7,2.2,Iris-virginica
7.54,2.6,6.9,2.3,Iris-virginica
5.74,2.2,5,1.5,Iris-virginica
6.82,3.2,5.7,2.3,Iris-virginica
5.38,2.8,4.9,2,Iris-virginica
7.54,2.8,6.7,2,Iris-virginica
6.1,2.7,4.9,1.8,Iris-virginica
6.46,3.3,5.7,2.1,Iris-virginica
7.18,3.2,6,1.8,Iris-virginica
6.1,2.8,4.8,1.8,Iris-virginica
6.1,3,4.9,1.8,Iris-virginica
6.1,2.8,5.6,2.1,Iris-virginica
7.18,3,5.8,1.6,Iris-virginica
7.18,2.8,6.1,1.9,Iris-virginica
7.9,3.8,6.4,2,Iris-virginica
6.1,2.8,5.6,2.2,Iris-virginica
6.1,2.8,5.1,1.5,Iris-virginica
6.1,2.6,5.6,1.4,Iris-virginica
7.54,3,6.1,2.3,Iris-virginica
6.1,3.4,5.6,2.4,Iris-virginica
6.1,3.1,5.5,1.8,Iris-virginica
5.74,3,4.8,1.8,Iris-virginica
6.82,3.1,5.4,2.1,Iris-virginica
6.46,3.1,5.6,2.4,Iris-virginica
6.82,3.1,5.1,2.3,Iris-virginica
5.74,2.7,5.1,1.9,Iris-virginica
6.46,3.2,5.9,2.3,Iris-virginica
6.46,3.3,5.7,2.5,Iris-virginica
6.46,3,5.2,2.3,Iris-virginica
6.1,2.5,5,1.9,Iris-virginica
6.46,3,5.2,2,Iris-virginica
6.1,3.4,5.4,2.3,Iris-virginica
5.74,3,5.1,1.8,Iris-virginica
